gitaccount_id,district_id,frequency,date
576,55,POPLATEK MESICNE,1993/1/1
3818,74,POPLATEK MESICNE,1993/1/1
704,55,POPLATEK MESICNE,1993/1/1
2378,16,POPLATEK MESICNE,1993/1/1
2632,24,POPLATEK MESICNE,1993/1/2
1972,77,POPLATEK MESICNE,1993/1/2
1539,1,POPLATEK PO OBRATU,1993/1/3
793,47,POPLATEK MESICNE,1993/1/3
2484,74,POPLATEK MESICNE,1993/1/3
1695,76,POPLATEK MESICNE,1993/1/3
1726,48,POPLATEK MESICNE,1993/1/3
2881,70,POPLATEK MESICNE,1993/1/4
2357,19,POPLATEK MESICNE,1993/1/4
2177,62,POPLATEK MESICNE,1993/1/4
485,6,POPLATEK PO OBRATU,1993/1/4
652,21,POPLATEK MESICNE,1993/1/5
9635,70,POPLATEK MESICNE,1993/1/5
1844,44,POPLATEK MESICNE,1993/1/6
1926,37,POPLATEK MESICNE,1993/1/6
2393,10,POPLATEK MESICNE,1993/1/7
3510,41,POPLATEK MESICNE,1993/1/7
1276,36,POPLATEK MESICNE,1993/1/7
1637,1,POPLATEK MESICNE,1993/1/8
3871,26,POPLATEK MESICNE,1993/1/8
192,55,POPLATEK MESICNE,1993/1/8
764,1,POPLATEK MESICNE,1993/1/8
2087,7,POPLATEK TYDNE,1993/1/8
2122,68,POPLATEK MESICNE,1993/1/8
3592,54,POPLATEK MESICNE,1993/1/8
3487,41,POPLATEK MESICNE,1993/1/8
435,38,POPLATEK MESICNE,1993/1/8
1730,1,POPLATEK MESICNE,1993/1/9
1493,41,POPLATEK MESICNE,1993/1/9
374,38,POPLATEK MESICNE,1993/1/9
2925,1,POPLATEK MESICNE,1993/1/10
866,9,POPLATEK MESICNE,1993/1/10
1628,60,POPLATEK MESICNE,1993/1/10
2379,44,POPLATEK MESICNE,1993/1/10
1979,26,POPLATEK MESICNE,1993/1/11
346,37,POPLATEK MESICNE,1993/1/11
1338,74,POPLATEK MESICNE,1993/1/11
1909,14,POPLATEK MESICNE,1993/1/12
2099,3,POPLATEK TYDNE,1993/1/12
3760,44,POPLATEK MESICNE,1993/1/13
5270,44,POPLATEK MESICNE,1993/1/13
1699,53,POPLATEK MESICNE,1993/1/14
3909,1,POPLATEK MESICNE,1993/1/14
2926,50,POPLATEK MESICNE,1993/1/14
1731,33,POPLATEK MESICNE,1993/1/14
11265,15,POPLATEK MESICNE,1993/1/14
2519,4,POPLATEK MESICNE,1993/1/15
10364,55,POPLATEK MESICNE,1993/1/17
1481,15,POPLATEK MESICNE,1993/1/17
401,32,POPLATEK MESICNE,1993/1/18
4034,1,POPLATEK MESICNE,1993/1/18
2330,54,POPLATEK MESICNE,1993/1/19
1806,40,POPLATEK MESICNE,1993/1/19
3834,54,POPLATEK MESICNE,1993/1/19
1222,66,POPLATEK MESICNE,1993/1/20
212,27,POPLATEK TYDNE,1993/1/20
456,49,POPLATEK MESICNE,1993/1/21
459,47,POPLATEK MESICNE,1993/1/21
772,45,POPLATEK MESICNE,1993/1/21
1019,52,POPLATEK MESICNE,1993/1/21
11295,74,POPLATEK MESICNE,1993/1/21
2970,60,POPLATEK MESICNE,1993/1/22
2676,73,POPLATEK MESICNE,1993/1/22
1536,41,POPLATEK TYDNE,1993/1/22
1179,74,POPLATEK MESICNE,1993/1/23
280,25,POPLATEK MESICNE,1993/1/23
2425,41,POPLATEK MESICNE,1993/1/23
9307,68,POPLATEK MESICNE,1993/1/24
4055,23,POPLATEK MESICNE,1993/1/24
5065,66,POPLATEK MESICNE,1993/1/24
3704,75,POPLATEK MESICNE,1993/1/24
477,1,POPLATEK MESICNE,1993/1/25
5891,54,POPLATEK MESICNE,1993/1/25
1000,77,POPLATEK MESICNE,1993/1/25
1750,1,POPLATEK MESICNE,1993/1/26
2023,68,POPLATEK MESICNE,1993/1/26
6473,12,POPLATEK MESICNE,1993/1/26
1649,46,POPLATEK MESICNE,1993/1/26
2670,13,POPLATEK MESICNE,1993/1/27
1127,27,POPLATEK MESICNE,1993/1/27
163,30,POPLATEK MESICNE,1993/1/27
2566,48,POPLATEK MESICNE,1993/1/27
9,70,POPLATEK MESICNE,1993/1/27
1144,59,POPLATEK MESICNE,1993/1/28
2902,32,POPLATEK MESICNE,1993/1/28
4296,63,POPLATEK MESICNE,1993/1/28
443,64,POPLATEK MESICNE,1993/1/28
3693,61,POPLATEK MESICNE,1993/1/29
2070,72,POPLATEK MESICNE,1993/1/29
1843,12,POPLATEK MESICNE,1993/1/30
2714,1,POPLATEK MESICNE,1993/1/30
4078,40,POPLATEK MESICNE,1993/1/30
1675,36,POPLATEK MESICNE,1993/2/1
5868,44,POPLATEK MESICNE,1993/2/2
1805,1,POPLATEK MESICNE,1993/2/2
2434,17,POPLATEK MESICNE,1993/2/2
3007,16,POPLATEK MESICNE,1993/2/2
2574,68,POPLATEK MESICNE,1993/2/2
862,64,POPLATEK TYDNE,1993/2/2
1132,1,POPLATEK TYDNE,1993/2/3
4484,54,POPLATEK MESICNE,1993/2/3
943,1,POPLATEK MESICNE,1993/2/3
3514,7,POPLATEK MESICNE,1993/2/3
3983,67,POPLATEK MESICNE,1993/2/4
9265,1,POPLATEK MESICNE,1993/2/4
465,32,POPLATEK MESICNE,1993/2/4
982,54,POPLATEK MESICNE,1993/2/5
411,70,POPLATEK MESICNE,1993/2/5
890,14,POPLATEK MESICNE,1993/2/5
627,63,POPLATEK MESICNE,1993/2/5
2429,61,POPLATEK MESICNE,1993/2/6
3960,64,POPLATEK MESICNE,1993/2/6
2256,48,POPLATEK MESICNE,1993/2/6
8051,1,POPLATEK TYDNE,1993/2/7
2647,73,POPLATEK MESICNE,1993/2/8
2241,6,POPLATEK MESICNE,1993/2/8
5622,70,POPLATEK MESICNE,1993/2/8
2884,1,POPLATEK MESICNE,1993/2/8
1830,10,POPLATEK MESICNE,1993/2/8
7753,74,POPLATEK MESICNE,1993/2/8
244,24,POPLATEK MESICNE,1993/2/8
1477,1,POPLATEK MESICNE,1993/2/8
4240,50,POPLATEK MESICNE,1993/2/8
1006,6,POPLATEK MESICNE,1993/2/8
830,74,POPLATEK MESICNE,1993/2/8
9188,45,POPLATEK MESICNE,1993/2/8
1965,57,POPLATEK PO OBRATU,1993/2/8
1134,6,POPLATEK MESICNE,1993/2/9
1601,10,POPLATEK MESICNE,1993/2/9
2861,38,POPLATEK MESICNE,1993/2/10
813,16,POPLATEK MESICNE,1993/2/10
