client_id,birth_number,district_id,gender,age
1,1970/12/13,18,F,29
2,1945/2/4,1,M,54
3,1940/10/9,1,F,59
4,1956/12/1,5,M,43
5,1960/7/3,5,F,39
6,1919/9/22,12,M,80
7,1929/1/25,15,M,70
8,1938/2/21,51,F,61
9,1935/10/16,60,M,64
10,1943/5/1,57,M,56
11,1950/8/22,57,F,49
12,1981/2/20,40,M,18
13,1974/5/29,54,F,25
14,1942/6/22,76,F,57
15,1918/8/28,21,F,81
16,1919/2/25,21,M,80
17,1934/10/13,76,M,65
18,1931/4/5,76,F,68
19,1942/12/28,47,M,57
20,1979/1/4,46,M,20
21,1952/10/29,12,F,47
22,1969/10/11,1,F,30
23,1973/5/29,1,M,26
24,1939/7/29,43,F,60
25,1939/4/23,21,F,60
26,1969/4/20,74,F,30
27,1966/3/26,54,F,33
28,1945/9/29,1,M,54
29,1951/9/11,30,F,48
30,1957/10/9,74,F,42
31,1962/2/9,68,M,37
32,1980/7/28,52,M,19
33,1948/12/4,73,F,51
36,1978/7/17,7,F,21
37,1970/8/10,7,M,29
38,1973/7/23,36,F,26
39,1968/1/25,68,M,31
40,1957/1/22,5,F,42
41,1968/8/27,22,M,31
42,1935/8/17,68,M,64
43,1920/10/28,75,M,79
44,1977/1/11,38,F,22
45,1952/8/26,20,M,47
46,1940/1/30,19,F,59
47,1934/7/14,76,M,65
48,1940/2/9,16,M,59
49,1959/5/11,72,F,40
50,1978/7/30,39,F,21
51,1979/12/2,36,F,20
52,1924/12/12,32,M,75
53,1977/5/5,64,M,22
55,1948/9/18,45,F,51
56,1960/3/31,21,M,39
57,1961/12/17,21,F,38
58,1927/4/29,1,F,72
59,1957/2/18,1,M,42
60,1980/2/19,67,M,19
61,1948/8/6,16,F,51
62,1932/12/8,77,M,67
63,1959/6/4,4,M,40
64,1926/4/22,20,M,73
65,1943/5/27,50,F,56
66,1951/11/10,1,F,48
67,1932/11/11,29,F,67
68,1946/12/14,43,M,53
70,1925/12/22,70,M,74
71,1927/2/6,70,F,72
72,1923/1/13,47,M,76
73,1924/2/20,22,M,75
74,1925/7/26,22,F,74
75,1977/9/19,64,F,22
76,1967/10/1,36,F,32
77,1956/2/18,1,F,43
78,1944/6/13,16,F,55
79,1969/3/10,37,F,30
80,1979/2/25,64,F,20
81,1976/4/29,8,M,23
82,1979/12/25,8,F,20
83,1978/12/25,1,F,21
84,1979/5/5,1,M,20
85,1961/8/27,1,M,38
86,1969/7/20,1,F,30
87,1946/11/17,72,F,53
89,1951/5/5,1,F,48
90,1975/8/17,52,M,24
91,1940/8/7,63,M,59
92,1966/6/12,74,F,33
93,1925/2/16,3,M,74
94,1947/9/9,43,M,52
95,1952/8/3,43,F,47
